class	count	class;label	percentage
Q570116	58	'tourist attraction'@en	0.03%
Q32178211	58	'music organization'@en	0.03%
Q167270	58	'trademark'@en	0.03%
Q56816954	57	'heavy metal band'@en	0.03%
Q41710	57	'ethnic group'@en	0.03%
Q15711870	57	'animated character'@en	0.03%
Q2442401	56	'record company'@en	0.02%
Q281643	55	'musical trio'@en	0.02%
Q132241	54	'festival'@en	0.02%
Q708676	52	'charitable organization'@en	0.02%
Q62049	52	'county seat'@en	0.02%
Q41176	51	'building'@en	0.02%
Q2608849	50	'imprint'@en	0.02%
Q22988604	50	'mythological Greek character'@en	0.02%
Q11032	49	'newspaper'@en	0.02%
Q7058673	48	'video game series'@en	0.02%
Q3257686	47	'locality'@en	0.02%
Q2001305	47	'television channel'@en	0.02%
Q187931	47	'phrase'@en	0.02%
Q8502	46	'mountain'@en	0.02%
Q811979	46	'architectural structure'@en	0.02%
Q54982412	46	'songwriting team'@en	0.02%
Q3062294	46	'Latin phrase'@en	0.02%
Q123705	46	'neighborhood'@en	0.02%
Q3918	45	'university'@en	0.02%
Q3409032	45	'unisex given name'@en	0.02%
Q856713	44	'Christian hymn'@en	0.02%
Q82794	44	'geographic region'@en	0.02%
Q3305213	44	'painting'@en	0.02%
Q19464263	44	'rap group'@en	0.02%
Q1917775	44	'music publishing company'@en	0.02%
Q1914636	44	'activity'@en	0.02%
Q120544	43	'vocal group'@en	0.02%
Q107356781	43	'song type'@en	0.02%
Q936518	42	'aerospace manufacturer'@en	0.02%
Q4022	42	'river'@en	0.02%
Q21198342	42	'manga series'@en	0.02%
Q16334295	42	'group of humans'@en	0.02%
Q7302866	41	'audio track'@en	0.02%
Q55190325	41	'musical instrument manufacturing company'@en	0.02%
Q202444	41	'given name'@en	0.02%
Q19351429	41	'a cappella group'@en	0.02%
Q1800833	41	'rockumentary'@en	0.02%
Q1616075	41	'television station'@en	0.02%
Q1261214	41	'television special'@en	0.02%
Q3085519	40	'pipe band'@en	0.02%
Q24869	40	'feature film'@en	0.02%
Q1969448	40	'term'@en	0.02%
Q1002697	40	'periodical'@en	0.02%
Q67911299	39	'compilation album series'@en	0.02%
Q28820001	39	'music scene'@en	0.02%
Q215048	39	'supergroup'@en	0.02%
Q19716577	39	'synthesizer model'@en	0.02%
Q84310035	38	'record production team'@en	0.02%
Q581714	38	'animated series'@en	0.02%
Q2085381	38	'publisher'@en	0.02%
Q2619673	37	'DJ mix'@en	0.02%
Q21070568	37	'human who may be fictional'@en	0.02%
Q12140	37	'medication'@en	0.02%
Q12136	37	'disease'@en	0.02%
Q829026	36	'occupational surname'@en	0.02%
Q742421	36	'theatrical troupe'@en	0.02%
Q35657	36	'U.S. state'@en	0.02%
Q1824338	36	'music magazine'@en	0.02%
Q1684522	36	'jazz club'@en	0.02%
Q11455398	36	'patronymic surname'@en	0.02%
Q4671286	35	'academic major'@en	0.02%
Q31629	35	'type of sport'@en	0.02%
Q2301325	35	'identical twins'@en	0.02%
Q182832	35	'concert'@en	0.02%
Q95074	34	'fictional character'@en	0.01%
Q7397	34	'software'@en	0.01%
Q3914	34	'school'@en	0.01%
Q33506	34	'museum'@en	0.01%
Q33104279	34	'philosophical concept'@en	0.01%
Q29168811	34	'animated feature film'@en	0.01%
Q17489659	34	'group of works'@en	0.01%
Q1406161	34	'artistic theme'@en	0.01%
Q5633421	33	'scientific journal'@en	0.01%
Q42744322	33	'urban municipality of Germany'@en	0.01%
Q394970	33	'box set'@en	0.01%
Q34442	33	'road'@en	0.01%
Q229390	33	'3D film'@en	0.01%
Q21199	33	'natural number'@en	0.01%
Q641226	32	'arena'@en	0.01%
Q4271324	32	'mythical character'@en	0.01%
Q20671381	32	'album series'@en	0.01%
Q19776628	32	'Latin-script letter'@en	0.01%
Q16979650	32	'sibling group'@en	0.01%
Q1400264	32	'artist collective'@en	0.01%
Q636497	31	'stock character'@en	0.01%
Q355567	31	'noble title'@en	0.01%
Q3469910	31	'performing arts center'@en	0.01%
Q1792379	31	'art genre'@en	0.01%
Q1075	31	'color'@en	0.01%
Q105756498	31	'type of musical ensemble/group'@en	0.01%
Q262166	30	'municipality of Germany'@en	0.01%
Q22989102	30	'Greek deity'@en	0.01%
Q2264924	30	'port settlement'@en	0.01%
Q968159	29	'art movement'@en	0.01%
Q3558970	29	'village of Poland'@en	0.01%
Q3184121	29	'municipality of Brazil'@en	0.01%
Q2707384	29	'side project'@en	0.01%
Q1445650	29	'holiday'@en	0.01%
Q11344	29	'chemical element'@en	0.01%
Q860861	28	'sculpture'@en	0.01%
Q79007	28	'street'@en	0.01%
Q7777573	28	'theatrical genre'@en	0.01%
Q7278	28	'political party'@en	0.01%
Q4936952	28	'anatomical structure'@en	0.01%
Q3231690	28	'automobile model'@en	0.01%
Q25391823	28	'punk band'@en	0.01%
Q1248784	28	'airport'@en	0.01%
Q7897276	27	'unparished area'@en	0.01%
Q63952888	27	'anime television series'@en	0.01%
Q59191021	27	'Wikimedia albums discography'@en	0.01%
Q341	27	'free software'@en	0.01%
Q3024240	27	'historical country'@en	0.01%
Q30149195	27	'biblical concept'@en	0.01%
Q1279564	27	'short story collection'@en	0.01%
Q7725310	26	'series of creative works'@en	0.01%
Q1931388	26	'cause of death'@en	0.01%
Q14406742	26	'comic book series'@en	0.01%
Q811430	25	'human-made geographic feature'@en	0.01%
Q5354754	25	'talent agency'@en	0.01%
Q50707	25	'composite number'@en	0.01%
Q430525	25	'concert film'@en	0.01%
Q29982117	25	'musical instrument model'@en	0.01%
Q20603222	25	'classical music competition'@en	0.01%
Q1021290	25	'music school'@en	0.01%
Q277759	24	'book series'@en	0.01%
Q21484471	24	'Wikipedia article covering multiple topics'@en	0.01%
Q184511	24	'idiom'@en	0.01%
Q17524420	24	'aspect of history'@en	0.01%
Q17343829	24	'unincorporated community in the United States'@en	0.01%
Q98775491	23	'family name named after given name'@en	0.01%
Q902814	23	'border town'@en	0.01%
Q838795	23	'comic strip'@en	0.01%
Q60539481	23	'negative emotion'@en	0.01%
Q41254	23	'Grammy Award'@en	0.01%
Q2996394	23	'biological process'@en	0.01%
Q2755753	23	'area of London'@en	0.01%
Q1589009	23	'privately held company'@en	0.01%
Q875538	22	'public university'@en	0.01%
Q58483088	22	'choreographic work'@en	0.01%
Q3889692	22	'college of music'@en	0.01%
Q3841820	22	'consonant letter'@en	0.01%
Q3320743	22	'title of honor'@en	0.01%
Q22698	22	'park'@en	0.01%
Q2074737	22	'municipality of Spain'@en	0.01%
Q1763828	22	'multi-purpose hall'@en	0.01%
Q13366104	22	'even number'@en	0.01%
Q11514315	22	'historical period'@en	0.01%
Q1130279	22	'hypocorism'@en	0.01%
Q83800887	21	'Wikimedia production discography'@en	0.01%
Q658255	21	'subsidiary'@en	0.01%
Q498162	21	'census-designated place'@en	0.01%
Q27686	21	'hotel'@en	0.01%
Q23002054	21	'private not-for-profit educational institution'@en	0.01%
Q2235308	21	'ship type'@en	0.01%
Q210167	21	'video game developer'@en	0.01%
Q157031	21	'foundation'@en	0.01%
Q11707	21	'restaurant'@en	0.01%
Q1076486	21	'sports venue'@en	0.01%
Q94993988	20	'commercial traffic aerodrome'@en	0.01%
Q9415	20	'emotion'@en	0.01%
Q726	20	'horse'@en	0.01%
Q707813	20	'Hanseatic city'@en	0.01%
Q561068	20	'specialty channel'@en	0.01%
Q50330360	20	'second largest city'@en	0.01%
Q484652	20	'international organization'@en	0.01%
Q483110	20	'stadium'@en	0.01%
Q48204	20	'voluntary association'@en	0.01%
Q46970	20	'airline'@en	0.01%
Q4671277	20	'academic institution'@en	0.01%
Q29154515	20	'chapter of the Bible'@en	0.01%
Q23038290	20	'fossil taxon'@en	0.01%
Q205985	20	'goddess'@en	0.01%
Q16832380	20	'recording catalog'@en	0.01%
Q82047057	19	'UCUM derived unit'@en	0.01%
Q5110343	19	'Christian music festival'@en	0.01%
Q476028	19	'association football club'@en	0.01%
Q41582469	19	'music festival edition'@en	0.01%
Q327333	19	'government agency'@en	0.01%
Q188509	19	'suburb'@en	0.01%
Q18674739	19	'event venue'@en	0.01%
Q18123741	19	'infectious disease'@en	0.01%
Q179461	19	'religious text'@en	0.01%
Q1620908	19	'historical region'@en	0.01%
Q15116915	19	'show'@en	0.01%
Q15081030	19	'motorcycle manufacturer'@en	0.01%
Q12538685	19	'roadshow'@en	0.01%
Q1207505	19	'quality'@en	0.01%
Q12020884	19	'music movement'@en	0.01%
Q112099	19	'island nation'@en	0.01%
Q88865478	18	'undifferentiated kana given name'@en	0.01%
Q8171	18	'word'@en	0.01%
Q717040	18	'Christmas tradition'@en	0.01%
Q63998451	18	'superhero film character'@en	0.01%
Q63141557	18	'translated song'@en	0.01%
Q56436498	18	'village in India'@en	0.01%
Q503391	18	'United Kingdom in the Eurovision Song Contest'@en	0.01%
Q484692	18	'hymn'@en	0.01%
Q34763	18	'peninsula'@en	0.01%
Q3375722	18	'theatrical character'@en	0.01%
Q333021	18	'Übername'@en	0.01%
Q268592	18	'industry'@en	0.01%
Q25810847	18	'folklore character'@en	0.01%
Q25403900	18	'food ingredient'@en	0.01%
Q2470540	18	'chamber ensemble'@en	0.01%
Q2188189	18	'musical work'@en	0.01%
Q2095	18	'food'@en	0.01%
Q16970	18	'church building'@en	0.01%
Q1569167	18	'video game character'@en	0.01%
Q13002315	18	'legendary figure'@en	0.01%
Q12813115	18	'urban area in Sweden'@en	0.01%
Q1190554	18	'occurrence'@en	0.01%
Q1110794	18	'daily newspaper'@en	0.01%
Q8436	17	'family'@en	0.01%
Q28057350	17	'opera festival'@en	0.01%
Q2465832	17	'branch of science'@en	0.01%
Q21191019	17	'Japanese TV series'@en	0.01%
Q201658	17	'film genre'@en	0.01%
Q1997853	17	'hit'@en	0.01%
Q19828	17	'leap year'@en	0.01%
Q1762059	17	'film production company'@en	0.01%
Q17517379	17	'animated short film'@en	0.01%
Q17444909	17	'astronomical object type'@en	0.01%
Q1667921	17	'novel series'@en	0.01%
Q16323605	17	'food brand'@en	0.01%
Q15911314	17	'association'@en	0.01%
Q15661340	17	'ancient city'@en	0.01%
Q14795564	17	'point in time with respect to recurrent timeframe'@en	0.01%
Q11446438	17	'female idol group'@en	0.01%
Q1047113	17	'specialty'@en	0.01%
Q1046088	17	'hall of fame'@en	0.01%
Q87167	16	'manuscript'@en	0.01%
Q59913930	16	'recording industry term'@en	0.01%
Q59248059	16	'singles discography'@en	0.01%
Q483394	16	'genre'@en	0.01%
Q32880	16	'architectural style'@en	0.01%
Q2385804	16	'educational institution'@en	0.01%
Q2198855	16	'cultural movement'@en	0.01%
Q1850936	16	'benefit concert'@en	0.01%
Q178561	16	'battle'@en	0.01%
Q159334	16	'secondary school'@en	0.01%
Q154575	16	'Germany in the Eurovision Song Contest'@en	0.01%
Q148837	16	'polis'@en	0.01%
Q14514600	16	'group of fictional characters'@en	0.01%
Q1259759	16	'miniseries'@en	0.01%
Q856663	15	'Bible story'@en	0.01%
Q829080	15	'professional association'@en	0.01%
Q80071	15	'symbol'@en	0.01%
Q70208	15	'municipality of Switzerland'@en	0.01%
Q667509	15	'municipality of Austria'@en	0.01%
Q6559906	15	'biblical psalm'@en	0.01%
Q47018901	15	'calendar month'@en	0.01%
Q4263830	15	'literary form'@en	0.01%
Q39816	15	'valley'@en	0.01%
Q3947	15	'house'@en	0.01%
Q34770	15	'language'@en	0.01%
Q27968043	15	'festival edition'@en	0.01%
Q23397	15	'lake'@en	0.01%
Q2135465	15	'legal concept'@en	0.01%
Q21278897	15	'Wiktionary redirect'@en	0.01%
Q207174	15	'personification'@en	0.01%
Q176799	15	'military unit'@en	0.01%
Q1714800	15	'locational surname'@en	0.01%
Q16335296	15	'historical profession'@en	0.01%
Q14756018	15	'twins'@en	0.01%
Q1378975	15	'convention center'@en	0.01%
Q131746	15	'perfume'@en	0.01%
Q1194970	15	'dot-com company'@en	0.01%
Q11812394	15	'theatre company'@en	0.01%
Q1123037	15	'nursery rhyme'@en	0.01%
Q10929058	15	'product model'@en	0.01%
Q107974527	15	'Wikipedia article covering multiple soundtrack releases'@en	0.01%
Q8148	14	'industry'@en	0.01%
Q7558495	14	'solo project'@en	0.01%
Q69197847	14	'coherent SI unit'@en	0.01%
Q65931568	14	'electronic music organization'@en	0.01%
Q571	14	'book'@en	0.01%
Q56061	14	'administrative territorial entity'@en	0.01%
Q56019	14	'military rank'@en	0.01%
Q46831	14	'mountain range'@en	0.01%
Q3719391	14	'sheet music publisher'@en	0.01%
Q3331189	14	'version, edition, or translation'@en	0.01%
Q264965	14	'subculture'@en	0.01%
Q261636	14	'sequel'@en	0.01%
Q25379	14	'play'@en	0.01%
Q24334893	14	'mythical place'@en	0.01%
Q2393196	14	'personality trait'@en	0.01%
Q216353	14	'title'@en	0.01%
Q21518270	14	'state or insular area capital of the United States'@en	0.01%
Q200250	14	'metropolis'@en	0.01%
Q19861951	14	'type of food or dish'@en	0.01%
Q1955280	14	'music competition'@en	0.01%
Q178885	14	'deity'@en	0.01%
Q15169167	14	'execution method'@en	0.01%
Q11688446	14	'Roman deity'@en	0.01%
Q11183017	14	'open-air theatre'@en	0.01%
Q110288240	14	'Eurovision Song Contest edition'@en	0.01%
Q1062083	14	'billionaire'@en	0.01%
Q1047437	14	'copyright collective'@en	0.01%
Q10429667	14	'car brand'@en	0.01%
Q836950	13	'derivative work'@en	0.01%
Q8187769	13	'economic activity'@en	0.01%
Q72941151	13	'developmental toxicant'@en	0.01%
Q7270	13	'republic'@en	0.01%
Q7187	13	'gene'@en	0.01%
Q6942541	13	'musical collective'@en	0.01%
Q59825643	13	'online music database'@en	0.01%
Q5151485	13	'comedy album'@en	0.01%
Q49773	13	'social movement'@en	0.01%
Q483247	13	'phenomenon'@en	0.01%
Q41863069	13	'war deity'@en	0.01%
Q39594	13	'bay'@en	0.01%
Q2239243	13	'mythical creature'@en	0.01%
Q212198	13	'pub'@en	0.01%
Q1916821	13	'water deity'@en	0.01%
Q187661	13	'carcinogen'@en	0.01%
Q1802243	13	'regional anthem'@en	0.01%
Q16523578	13	'German preliminary rounds for Euro Vision Song Contest'@en	0.01%
Q1371427	13	'ethnic slur'@en	0.01%
Q13218391	13	'charter city'@en	0.01%
Q12089225	13	'mineral species'@en	0.01%
Q1080794	13	'state school'@en	0.01%
Q1047698	13	'superpower'@en	0.01%
Q979507	12	'Hindu deity'@en	0.01%
Q63032896	12	'Wikimedia list of fictional characters'@en	0.01%
Q6058157	12	'god'@en	0.01%
Q56055944	12	'arts form'@en	0.01%
Q545779	12	'pejorative'@en	0.01%
Q54050	12	'hill'@en	0.01%
Q51576574	12	'Mediterranean country'@en	0.01%
Q507057	12	'Juno Awards'@en	0.01%
Q5009242	12	'cable channel'@en	0.01%
Q47154513	12	'structural class of chemical compounds'@en	0.01%
Q45400320	12	'open-access publisher'@en	0.01%
Q3863	12	'asteroid'@en	0.01%
Q3244156	12	'brass band'@en	0.01%
Q24856	12	'film series'@en	0.01%
Q235673	12	'common year starting and ending on Saturday'@en	0.01%
Q216704	12	'Norway in the Eurovision Song Contest'@en	0.01%
Q20739124	12	'entertainment company'@en	0.01%
Q19860854	12	'destroyed building or structure'@en	0.01%
Q191992	12	'headland'@en	0.01%
Q18510489	12	'comedy troupe'@en	0.01%
Q182545	12	'stylistic device'@en	0.01%
Q1760610	12	'comic book'@en	0.01%
Q17455058	12	'music museum'@en	0.01%
Q17143070	12	'toponymic surname'@en	0.01%
Q171318	12	'kinship'@en	0.01%
Q169872	12	'symptom'@en	0.01%
Q16887380	12	'group'@en	0.01%
Q15841920	12	'Redewendung'@en	0.01%
Q157811	12	'virtue'@en	0.01%
Q1509934	12	'children\'s game'@en	0.01%
Q15081032	12	'historical motorcycle manufacturer'@en	0.01%
Q1366112	12	'drama television series'@en	0.01%
Q1320047	12	'book publisher'@en	0.01%
Q131436	12	'board game'@en	0.01%
Q131084	12	'libretto'@en	0.01%
Q1307214	12	'form of government'@en	0.01%
Q1288568	12	'modern language'@en	0.01%
Q1197685	12	'public holiday'@en	0.01%
Q1193470	12	'theme music'@en	0.01%
Q1141470	12	'double act'@en	0.01%
Q110616917	12	'Melodifestivalen edition'@en	0.01%
Q1004	12	'comics'@en	0.01%
Q930752	11	'medical specialty'@en	0.0%
Q9143	11	'programming language'@en	0.0%
Q847906	11	'online magazine'@en	0.0%
Q83790536	11	'Wikimedia list of songs by performer'@en	0.0%
Q7930989	11	'city/town'@en	0.0%
Q737498	11	'academic journal'@en	0.0%
Q72986	11	'Sweden in the Eurovision Song Contest'@en	0.0%
Q6619719	11	'fictional music group'@en	0.0%
Q644371	11	'international airport'@en	0.0%
Q589183	11	'radio format'@en	0.0%
Q56053097	11	'HTML4 named color'@en	0.0%
Q523	11	'star'@en	0.0%
Q51929311	11	'largest city'@en	0.0%
Q39614	11	'cemetery'@en	0.0%
Q35456	11	'essential medicine'@en	0.0%
Q3502482	11	'cultural region'@en	0.0%
Q332506	11	'Belgium in the Eurovision Song Contest'@en	0.0%
Q3297186	11	'limited series'@en	0.0%
Q320347	11	'Greece in the Eurovision Song Contest'@en	0.0%
Q2695280	11	'technique'@en	0.0%
Q24634210	11	'podcast'@en	0.0%
Q235729	11	'common year'@en	0.0%
Q235676	11	'common year starting and ending on Wednesday'@en	0.0%
Q2221906	11	'geographic location'@en	0.0%
Q2207288	11	'craft'@en	0.0%
Q2143781	11	'drama school'@en	0.0%
Q207378	11	'big band'@en	0.0%
Q202686	11	'Commonwealth realm'@en	0.0%
Q18608583	11	'recurring sporting event'@en	0.0%
Q1776834	11	'boys\' choir'@en	0.0%
Q174782	11	'square'@en	0.0%
Q1656682	11	'event'@en	0.0%
Q16513881	11	'Norse deity'@en	0.0%
Q15893266	11	'former entity'@en	0.0%
Q15590336	11	'music streaming service'@en	0.0%
Q13366129	11	'odd number'@en	0.0%
Q1260524	11	'time of the day'@en	0.0%
Q11921029	11	'musical style'@en	0.0%
Q11410	11	'game'@en	0.0%
Q1135557	11	'quartet'@en	0.0%
Q10689397	11	'television production company'@en	0.0%
Q1066670	11	'tag team'@en	0.0%
Q958314	10	'grape variety'@en	0.0%
Q937228	10	'property'@en	0.0%
Q929833	10	'rare disease'@en	0.0%
Q921469	10	'Latin Grammy Awards'@en	0.0%
Q8059337	10	'youth orchestra'@en	0.0%
Q699	10	'fairy tale'@en	0.0%
Q66808903	10	'adventure film character'@en	0.0%
Q59854802	10	'live extended play'@en	0.0%
Q5767753	10	'style'@en	0.0%
Q48805843	10	'police band'@en	0.0%
Q43060	10	'online music store'@en	0.0%
Q42470	10	'motto'@en	0.0%
Q4162444	10	'branch of physics'@en	0.0%
Q38723	10	'higher education institution'@en	0.0%
Q31855	10	'research institute'@en	0.0%
Q317623	10	'technical standard'@en	0.0%
Q2927074	10	'Internet meme'@en	0.0%
Q2831984	10	'comic book album'@en	0.0%
Q2424752	10	'product'@en	0.0%
Q2393314	10	'dance troupe'@en	0.0%
Q235684	10	'common year starting and ending on Tuesday'@en	0.0%
Q2312410	10	'sports discipline'@en	0.0%
Q220935	10	'demo'@en	0.0%
Q20643324	10	'opera genre'@en	0.0%
Q206287	10	'quotation'@en	0.0%
Q1935136	10	'winged words'@en	0.0%
Q18534542	10	'restaurant chain'@en	0.0%
Q1852859	10	'populated place in the Netherlands'@en	0.0%
Q179164	10	'unitary state'@en	0.0%
Q17537576	10	'creative work'@en	0.0%
Q169336	10	'mixture'@en	0.0%
Q15623926	10	'Wikimedia set index article'@en	0.0%
Q1441305	10	'clinical sign'@en	0.0%
Q134626	10	'district capital'@en	0.0%
Q1343246	10	'English country house'@en	0.0%
Q1331793	10	'media company'@en	0.0%
Q1329623	10	'cultural center'@en	0.0%
Q132821	10	'murder'@en	0.0%
Q1292119	10	'style'@en	0.0%
Q123480	10	'landlocked country'@en	0.0%
Q1187811	10	'college town'@en	0.0%
Q108300140	10	'occupation group according to ISCO'@en	0.0%
Q108171565	10	'navigational star'@en	0.0%
Q101244	10	'acronym'@en	0.0%
Q100707163	10	'television franchise'@en	0.0%
Q8928	9	'constellation'@en	0.0%
Q7315424	9	'concert residency'@en	0.0%
Q6815100	9	'membership organization'@en	0.0%
Q66715801	9	'musical profession'@en	0.0%
Q647450	9	'Netherlands in the Eurovision Song Contest'@en	0.0%
Q63412991	9	'YouTube video'@en	0.0%
Q63187345	9	'religious occupation'@en	0.0%
Q61220733	9	'Star Trek episode'@en	0.0%
Q537127	9	'road bridge'@en	0.0%
Q5341295	9	'educational organization'@en	0.0%
Q526877	9	'web series'@en	0.0%
Q49614	9	'nickname'@en	0.0%
Q493522	9	'municipality of Belgium'@en	0.0%
Q4801521	9	'arts festival'@en	0.0%
Q47574	9	'unit of measurement'@en	0.0%
Q39367	9	'dog breed'@en	0.0%
Q327245	9	'team'@en	0.0%
Q29028649	9	'economic concept'@en	0.0%
Q25110269	9	'live-action/animated film'@en	0.0%
Q24334976	9	'Norse mythical location'@en	0.0%
Q24034552	9	'mathematical concept'@en	0.0%
Q235687	9	'common year starting and ending on Monday'@en	0.0%
Q235670	9	'common year starting and ending on Sunday'@en	0.0%
Q2178147	9	'trade association'@en	0.0%
Q2087181	9	'historic house museum'@en	0.0%
Q2039348	9	'municipality of the Netherlands'@en	0.0%
Q2031291	9	'release'@en	0.0%
Q19793459	9	'Greek letter'@en	0.0%
Q192822	9	'tonality'@en	0.0%
Q185113	9	'cape'@en	0.0%
Q18509232	9	'fast food restaurant chain'@en	0.0%
Q184439	9	'profanity'@en	0.0%
Q1792644	9	'art style'@en	0.0%
Q1790144	9	'unit of time'@en	0.0%
Q1663017	9	'engineering school'@en	0.0%
Q16560	9	'palace'@en	0.0%
Q159979	9	'twin'@en	0.0%
Q15243209	9	'historic district'@en	0.0%
Q15142889	9	'weapon family'@en	0.0%
Q15127012	9	'town of the United States'@en	0.0%
Q142714	9	'card game'@en	0.0%
Q1293220	9	'physical phenomenon'@en	0.0%
Q12909644	9	'political ideology'@en	0.0%
Q1254874	9	'television network'@en	0.0%
Q1252971	9	'food manufacturer'@en	0.0%
Q12135	9	'mental disorder'@en	0.0%
Q1153191	9	'online newspaper'@en	0.0%
Q11446	9	'ship'@en	0.0%
Q1142281	9	'national personification'@en	0.0%
Q11042	9	'culture'@en	0.0%
Q106594041	9	'annual music competition'@en	0.0%
Q103812529	9	'organ type'@en	0.0%
Q100434640	9	'class of chemical substances by use'@en	0.0%
Q955824	8	'learned society'@en	0.0%
Q9174	8	'religion'@en	0.0%
Q9135	8	'operating system'@en	0.0%
Q83034	8	'interjection'@en	0.0%
Q813912	8	'condition'@en	0.0%
Q80447738	8	'anime character'@en	0.0%
Q79913	8	'non-governmental organization'@en	0.0%
Q74817647	8	'aspect in a geographic region'@en	0.0%
