class	count	class;label
Q19776628	32	'Latin-script letter'@en
Q16979650	32	'sibling group'@en
Q1400264	32	'artist collective'@en
Q636497	31	'stock character'@en
Q355567	31	'noble title'@en
Q3469910	31	'performing arts center'@en
Q1792379	31	'art genre'@en
Q1075	31	'color'@en
Q105756498	31	'type of musical ensemble/group'@en
Q262166	30	'municipality of Germany'@en
Q22989102	30	'Greek deity'@en
Q2264924	30	'port settlement'@en
Q968159	29	'art movement'@en
Q3558970	29	'village of Poland'@en
Q3184121	29	'municipality of Brazil'@en
Q2707384	29	'side project'@en
Q1445650	29	'holiday'@en
Q11344	29	'chemical element'@en
Q860861	28	'sculpture'@en
Q79007	28	'street'@en
Q7777573	28	'theatrical genre'@en
Q7278	28	'political party'@en
Q4936952	28	'anatomical structure'@en
Q3231690	28	'automobile model'@en
Q25391823	28	'punk band'@en
Q1248784	28	'airport'@en
Q7897276	27	'unparished area'@en
Q63952888	27	'anime television series'@en
Q59191021	27	'Wikimedia albums discography'@en
Q341	27	'free software'@en
Q3024240	27	'historical country'@en
Q30149195	27	'biblical concept'@en
Q1279564	27	'short story collection'@en
Q7725310	26	'series of creative works'@en
Q1931388	26	'cause of death'@en
Q14406742	26	'comic book series'@en
Q811430	25	'human-made geographic feature'@en
Q5354754	25	'talent agency'@en
Q50707	25	'composite number'@en
Q430525	25	'concert film'@en
Q29982117	25	'musical instrument model'@en
Q20603222	25	'classical music competition'@en
Q1021290	25	'music school'@en
Q277759	24	'book series'@en
Q21484471	24	'Wikipedia article covering multiple topics'@en
Q184511	24	'idiom'@en
Q17524420	24	'aspect of history'@en
Q17343829	24	'unincorporated community in the United States'@en
Q98775491	23	'family name named after given name'@en
Q902814	23	'border town'@en
Q838795	23	'comic strip'@en
Q60539481	23	'negative emotion'@en
Q41254	23	'Grammy Award'@en
Q2996394	23	'biological process'@en
Q2755753	23	'area of London'@en
Q1589009	23	'privately held company'@en
Q875538	22	'public university'@en
Q58483088	22	'choreographic work'@en
Q3889692	22	'college of music'@en
Q3841820	22	'consonant letter'@en
Q3320743	22	'title of honor'@en
Q22698	22	'park'@en
Q2074737	22	'municipality of Spain'@en
Q1763828	22	'multi-purpose hall'@en
Q13366104	22	'even number'@en
Q11514315	22	'historical period'@en
Q1130279	22	'hypocorism'@en
Q83800887	21	'Wikimedia production discography'@en
Q658255	21	'subsidiary'@en
Q498162	21	'census-designated place'@en
Q27686	21	'hotel'@en
Q23002054	21	'private not-for-profit educational institution'@en
Q2235308	21	'ship type'@en
Q210167	21	'video game developer'@en
Q157031	21	'foundation'@en
Q11707	21	'restaurant'@en
Q1076486	21	'sports venue'@en
Q94993988	20	'commercial traffic aerodrome'@en
Q9415	20	'emotion'@en
Q726	20	'horse'@en
Q707813	20	'Hanseatic city'@en
Q561068	20	'specialty channel'@en
Q50330360	20	'second largest city'@en
Q484652	20	'international organization'@en
Q483110	20	'stadium'@en
Q48204	20	'voluntary association'@en
Q46970	20	'airline'@en
Q4671277	20	'academic institution'@en
Q29154515	20	'chapter of the Bible'@en
Q23038290	20	'fossil taxon'@en
Q205985	20	'goddess'@en
Q16832380	20	'recording catalog'@en
Q82047057	19	'UCUM derived unit'@en
Q5110343	19	'Christian music festival'@en
Q476028	19	'association football club'@en
Q41582469	19	'music festival edition'@en
Q327333	19	'government agency'@en
Q188509	19	'suburb'@en
Q18674739	19	'event venue'@en
Q18123741	19	'infectious disease'@en
Q179461	19	'religious text'@en
Q1620908	19	'historical region'@en
Q15116915	19	'show'@en
Q15081030	19	'motorcycle manufacturer'@en
Q12538685	19	'roadshow'@en
Q1207505	19	'quality'@en
Q12020884	19	'music movement'@en
Q112099	19	'island nation'@en
Q88865478	18	'undifferentiated kana given name'@en
Q8171	18	'word'@en
Q717040	18	'Christmas tradition'@en
Q63998451	18	'superhero film character'@en
Q63141557	18	'translated song'@en
Q56436498	18	'village in India'@en
Q503391	18	'United Kingdom in the Eurovision Song Contest'@en
Q484692	18	'hymn'@en
Q34763	18	'peninsula'@en
Q3375722	18	'theatrical character'@en
Q333021	18	'Übername'@en
Q268592	18	'industry'@en
Q25810847	18	'folklore character'@en
Q25403900	18	'food ingredient'@en
Q2470540	18	'chamber ensemble'@en
Q2188189	18	'musical work'@en
Q2095	18	'food'@en
Q16970	18	'church building'@en
Q1569167	18	'video game character'@en
Q13002315	18	'legendary figure'@en
Q12813115	18	'urban area in Sweden'@en
Q1190554	18	'occurrence'@en
Q1110794	18	'daily newspaper'@en
Q8436	17	'family'@en
Q28057350	17	'opera festival'@en
Q2465832	17	'branch of science'@en
Q21191019	17	'Japanese TV series'@en
Q201658	17	'film genre'@en
Q1997853	17	'hit'@en
Q19828	17	'leap year'@en
Q1762059	17	'film production company'@en
Q17517379	17	'animated short film'@en
Q17444909	17	'astronomical object type'@en
Q1667921	17	'novel series'@en
Q16323605	17	'food brand'@en
Q15911314	17	'association'@en
Q15661340	17	'ancient city'@en
Q14795564	17	'point in time with respect to recurrent timeframe'@en
Q11446438	17	'female idol group'@en
Q1047113	17	'specialty'@en
Q1046088	17	'hall of fame'@en
Q87167	16	'manuscript'@en
Q59913930	16	'recording industry term'@en
Q59248059	16	'singles discography'@en
Q483394	16	'genre'@en
Q32880	16	'architectural style'@en
Q2385804	16	'educational institution'@en
Q2198855	16	'cultural movement'@en
Q1850936	16	'benefit concert'@en
Q178561	16	'battle'@en
Q159334	16	'secondary school'@en
Q154575	16	'Germany in the Eurovision Song Contest'@en
Q148837	16	'polis'@en
Q14514600	16	'group of fictional characters'@en
Q1259759	16	'miniseries'@en
Q856663	15	'Bible story'@en
Q829080	15	'professional association'@en
Q80071	15	'symbol'@en
Q70208	15	'municipality of Switzerland'@en
Q667509	15	'municipality of Austria'@en
Q6559906	15	'biblical psalm'@en
Q47018901	15	'calendar month'@en
Q4263830	15	'literary form'@en
Q39816	15	'valley'@en
Q3947	15	'house'@en
Q34770	15	'language'@en
Q27968043	15	'festival edition'@en
Q23397	15	'lake'@en
Q2135465	15	'legal concept'@en
Q21278897	15	'Wiktionary redirect'@en
Q207174	15	'personification'@en
Q176799	15	'military unit'@en
Q1714800	15	'locational surname'@en
Q16335296	15	'historical profession'@en
Q14756018	15	'twins'@en
Q1378975	15	'convention center'@en
Q131746	15	'perfume'@en
Q1194970	15	'dot-com company'@en
Q11812394	15	'theatre company'@en
Q1123037	15	'nursery rhyme'@en
Q10929058	15	'product model'@en
Q107974527	15	'Wikipedia article covering multiple soundtrack releases'@en
Q8148	14	'industry'@en
Q7558495	14	'solo project'@en
Q69197847	14	'coherent SI unit'@en
Q65931568	14	'electronic music organization'@en
Q571	14	'book'@en
Q56061	14	'administrative territorial entity'@en
Q56019	14	'military rank'@en
Q46831	14	'mountain range'@en
Q3719391	14	'sheet music publisher'@en
Q3331189	14	'version, edition, or translation'@en
Q264965	14	'subculture'@en
Q261636	14	'sequel'@en
Q25379	14	'play'@en
Q24334893	14	'mythical place'@en
Q2393196	14	'personality trait'@en
Q216353	14	'title'@en
Q21518270	14	'state or insular area capital of the United States'@en
Q200250	14	'metropolis'@en
Q19861951	14	'type of food or dish'@en
Q1955280	14	'music competition'@en
Q178885	14	'deity'@en
Q15169167	14	'execution method'@en
Q11688446	14	'Roman deity'@en
Q11183017	14	'open-air theatre'@en
Q110288240	14	'Eurovision Song Contest edition'@en
Q1062083	14	'billionaire'@en
Q1047437	14	'copyright collective'@en
Q10429667	14	'car brand'@en
Q836950	13	'derivative work'@en
Q8187769	13	'economic activity'@en
Q72941151	13	'developmental toxicant'@en
Q7270	13	'republic'@en
Q7187	13	'gene'@en
Q6942541	13	'musical collective'@en
Q59825643	13	'online music database'@en
Q5151485	13	'comedy album'@en
Q49773	13	'social movement'@en
Q483247	13	'phenomenon'@en
Q41863069	13	'war deity'@en
Q39594	13	'bay'@en
Q2239243	13	'mythical creature'@en
Q212198	13	'pub'@en
Q1916821	13	'water deity'@en
Q187661	13	'carcinogen'@en
Q1802243	13	'regional anthem'@en
Q16523578	13	'German preliminary rounds for Euro Vision Song Contest'@en
Q1371427	13	'ethnic slur'@en
Q13218391	13	'charter city'@en
Q12089225	13	'mineral species'@en
Q1080794	13	'state school'@en
Q1047698	13	'superpower'@en
Q979507	12	'Hindu deity'@en
Q63032896	12	'Wikimedia list of fictional characters'@en
Q6058157	12	'god'@en
Q56055944	12	'arts form'@en
Q545779	12	'pejorative'@en
Q54050	12	'hill'@en
Q51576574	12	'Mediterranean country'@en
Q507057	12	'Juno Awards'@en
Q5009242	12	'cable channel'@en
Q47154513	12	'structural class of chemical compounds'@en
Q45400320	12	'open-access publisher'@en
Q3863	12	'asteroid'@en
Q3244156	12	'brass band'@en
Q24856	12	'film series'@en
Q235673	12	'common year starting and ending on Saturday'@en
Q216704	12	'Norway in the Eurovision Song Contest'@en
Q20739124	12	'entertainment company'@en
Q19860854	12	'destroyed building or structure'@en
Q191992	12	'headland'@en
Q18510489	12	'comedy troupe'@en
Q182545	12	'stylistic device'@en
Q1760610	12	'comic book'@en
Q17455058	12	'music museum'@en
Q17143070	12	'toponymic surname'@en
Q171318	12	'kinship'@en
Q169872	12	'symptom'@en
Q16887380	12	'group'@en
Q15841920	12	'Redewendung'@en
Q157811	12	'virtue'@en
Q1509934	12	'children\'s game'@en
Q15081032	12	'historical motorcycle manufacturer'@en
Q1366112	12	'drama television series'@en
Q1320047	12	'book publisher'@en
Q131436	12	'board game'@en
Q131084	12	'libretto'@en
Q1307214	12	'form of government'@en
Q1288568	12	'modern language'@en
Q1197685	12	'public holiday'@en
Q1193470	12	'theme music'@en
Q1141470	12	'double act'@en
Q110616917	12	'Melodifestivalen edition'@en
Q1004	12	'comics'@en
Q930752	11	'medical specialty'@en
Q9143	11	'programming language'@en
Q847906	11	'online magazine'@en
Q83790536	11	'Wikimedia list of songs by performer'@en
Q7930989	11	'city/town'@en
Q737498	11	'academic journal'@en
Q72986	11	'Sweden in the Eurovision Song Contest'@en
Q6619719	11	'fictional music group'@en
Q644371	11	'international airport'@en
Q589183	11	'radio format'@en
Q56053097	11	'HTML4 named color'@en
Q523	11	'star'@en
Q51929311	11	'largest city'@en
Q39614	11	'cemetery'@en
Q35456	11	'essential medicine'@en
Q3502482	11	'cultural region'@en
Q332506	11	'Belgium in the Eurovision Song Contest'@en
Q3297186	11	'limited series'@en
Q320347	11	'Greece in the Eurovision Song Contest'@en
Q2695280	11	'technique'@en
Q24634210	11	'podcast'@en
Q235729	11	'common year'@en
Q235676	11	'common year starting and ending on Wednesday'@en
Q2221906	11	'geographic location'@en
Q2207288	11	'craft'@en
Q2143781	11	'drama school'@en
Q207378	11	'big band'@en
Q202686	11	'Commonwealth realm'@en
Q18608583	11	'recurring sporting event'@en
Q1776834	11	'boys\' choir'@en
Q174782	11	'square'@en
Q1656682	11	'event'@en
Q16513881	11	'Norse deity'@en
Q15893266	11	'former entity'@en
Q15590336	11	'music streaming service'@en
Q13366129	11	'odd number'@en
Q1260524	11	'time of the day'@en
Q11921029	11	'musical style'@en
Q11410	11	'game'@en
Q1135557	11	'quartet'@en
Q10689397	11	'television production company'@en
Q1066670	11	'tag team'@en
Q958314	10	'grape variety'@en
Q937228	10	'property'@en
Q929833	10	'rare disease'@en
Q921469	10	'Latin Grammy Awards'@en
Q8059337	10	'youth orchestra'@en
Q699	10	'fairy tale'@en
Q66808903	10	'adventure film character'@en
Q59854802	10	'live extended play'@en
Q5767753	10	'style'@en
Q48805843	10	'police band'@en
Q43060	10	'online music store'@en
Q42470	10	'motto'@en
Q4162444	10	'branch of physics'@en
Q38723	10	'higher education institution'@en
Q31855	10	'research institute'@en
Q317623	10	'technical standard'@en
Q2927074	10	'Internet meme'@en
Q2831984	10	'comic book album'@en
Q2424752	10	'product'@en
Q2393314	10	'dance troupe'@en
Q235684	10	'common year starting and ending on Tuesday'@en
Q2312410	10	'sports discipline'@en
Q220935	10	'demo'@en
Q20643324	10	'opera genre'@en
Q206287	10	'quotation'@en
Q1935136	10	'winged words'@en
Q18534542	10	'restaurant chain'@en
Q1852859	10	'populated place in the Netherlands'@en
Q179164	10	'unitary state'@en
Q17537576	10	'creative work'@en
Q169336	10	'mixture'@en
Q15623926	10	'Wikimedia set index article'@en
Q1441305	10	'clinical sign'@en
Q134626	10	'district capital'@en
Q1343246	10	'English country house'@en
Q1331793	10	'media company'@en
Q1329623	10	'cultural center'@en
Q132821	10	'murder'@en
Q1292119	10	'style'@en
Q123480	10	'landlocked country'@en
Q1187811	10	'college town'@en
Q108300140	10	'occupation group according to ISCO'@en
Q108171565	10	'navigational star'@en
Q101244	10	'acronym'@en
Q100707163	10	'television franchise'@en
Q8928	9	'constellation'@en
Q7315424	9	'concert residency'@en
Q6815100	9	'membership organization'@en
Q66715801	9	'musical profession'@en
Q647450	9	'Netherlands in the Eurovision Song Contest'@en
Q63412991	9	'YouTube video'@en
Q63187345	9	'religious occupation'@en
Q61220733	9	'Star Trek episode'@en
Q537127	9	'road bridge'@en
Q5341295	9	'educational organization'@en
Q526877	9	'web series'@en
Q49614	9	'nickname'@en
Q493522	9	'municipality of Belgium'@en
Q4801521	9	'arts festival'@en
Q47574	9	'unit of measurement'@en
Q39367	9	'dog breed'@en
Q327245	9	'team'@en
Q29028649	9	'economic concept'@en
Q25110269	9	'live-action/animated film'@en
Q24334976	9	'Norse mythical location'@en
Q24034552	9	'mathematical concept'@en
Q235687	9	'common year starting and ending on Monday'@en
Q235670	9	'common year starting and ending on Sunday'@en
Q2178147	9	'trade association'@en
Q2087181	9	'historic house museum'@en
Q2039348	9	'municipality of the Netherlands'@en
Q2031291	9	'release'@en
Q19793459	9	'Greek letter'@en
Q192822	9	'tonality'@en
Q185113	9	'cape'@en
Q18509232	9	'fast food restaurant chain'@en
Q184439	9	'profanity'@en
Q1792644	9	'art style'@en
Q1790144	9	'unit of time'@en
Q1663017	9	'engineering school'@en
Q16560	9	'palace'@en
Q159979	9	'twin'@en
Q15243209	9	'historic district'@en
Q15142889	9	'weapon family'@en
Q15127012	9	'town of the United States'@en
Q142714	9	'card game'@en
Q1293220	9	'physical phenomenon'@en
Q12909644	9	'political ideology'@en
Q1254874	9	'television network'@en
Q1252971	9	'food manufacturer'@en
Q12135	9	'mental disorder'@en
Q1153191	9	'online newspaper'@en
Q11446	9	'ship'@en
Q1142281	9	'national personification'@en
Q11042	9	'culture'@en
Q106594041	9	'annual music competition'@en
Q103812529	9	'organ type'@en
Q100434640	9	'class of chemical substances by use'@en
Q955824	8	'learned society'@en
Q9174	8	'religion'@en
Q9135	8	'operating system'@en
Q83034	8	'interjection'@en
Q813912	8	'condition'@en
Q80447738	8	'anime character'@en
Q79913	8	'non-governmental organization'@en
Q74817647	8	'aspect in a geographic region'@en
Q7257	8	'ideology'@en
Q7229089	8	'pop duo'@en
Q7094076	8	'online database'@en
Q7075	8	'library'@en
Q65598493	8	'collaborative extended play'@en
Q64654999	8	'former theater'@en
Q6266	8	'nation'@en
Q61788060	8	'human activity'@en
Q60075825	8	'Christian holy day'@en
Q59163902	8	'musical production'@en
Q58795659	8	'major'@en
Q5153359	8	'municipality of the Czech Republic'@en
Q50705	8	'square number'@en
Q4686758	8	'advertising character'@en
Q4204501	8	'historical ethnic group'@en
Q379845	8	'North Macedonia in the Eurovision Song Contest'@en
Q375336	8	'film studio'@en
Q334453	8	'division'@en
Q3241972	8	'character'@en
Q28829877	8	'sports terminology'@en
Q28225717	8	'Doctor Who serial'@en
Q2728698	8	'religious belief'@en
Q2635894	8	'radio drama'@en
Q2596245	8	'jazz band'@en
Q2491498	8	'pop group'@en
Q2472587	8	'people'@en
Q24533670	8	'mythical humanoid race'@en
Q235557	8	'file format'@en
Q2250943	8	'composition school'@en
Q2243978	8	'record shop'@en
Q2095173	8	'jam band'@en
Q208469	8	'SI derived unit'@en
Q2057971	8	'health problem'@en
Q202866	8	'animated film'@en
Q189819	8	'ritual'@en
Q189004	8	'college'@en
Q18534	8	'metaphor'@en
Q1799072	8	'method'@en
Q178790	8	'labor union'@en
Q177413	8	'demon'@en
Q175854	8	'phobia'@en
Q163829	8	'synthesizer'@en
Q15961987	8	'television genre'@en
Q15056995	8	'aircraft model'@en
Q13417114	8	'noble family'@en
Q1254773	8	'family of musical instruments'@en
Q1250464	8	'realm'@en
Q1154859	8	'rock festival'@en
Q11177771	8	'artistic technique'@en
Q110874	8	'patronymic'@en
Q1078286	8	'military band'@en
Q106834231	8	'music by period of time'@en
Q1001378	8	'cinematic technique'@en
Q988108	7	'club'@en
Q9332	7	'behavior'@en
Q925381	7	'city with powiat rights'@en
Q902104	7	'private university'@en
Q879050	7	'manor house'@en
Q85635630	7	'urban district of North Rhine-Westphalia'@en
Q842697	7	'thunder god'@en
Q838948	7	'work of art'@en
Q83620	7	'thoroughfare'@en
Q83405	7	'factory'@en
Q8142	7	'currency'@en
Q8102	7	'slang'@en
Q8054	7	'protein'@en
Q805233	7	'ballet company'@en
Q80359036	7	'alcohol brand'@en
Q7860962	7	'road type'@en
Q778575	7	'conglomerate'@en
Q7543008	7	'small burgh'@en
Q746549	7	'dish'@en
Q726870	7	'brick and mortar'@en
Q71129815	7	'electronica duo'@en
Q6456916	7	'national economy'@en
Q64027488	7	'arrangement on a work of the public domain'@en
Q63046488	7	'mythical ethnic group'@en
Q59557805	7	'unreleased album'@en
Q58603552	7	'sibling trio'@en
Q55488	7	'railway station'@en
Q54989186	7	'mental state'@en
Q541947	7	'anthem'@en
Q512187	7	'federal republic'@en
Q5051330	7	'catalogue of classical compositions'@en
Q4989906	7	'monument'@en
Q4897819	7	'role'@en
Q47883	7	'playing card'@en
Q47577	7	'Fibonacci number'@en
Q467511	7	'deficient number'@en
Q4502119	7	'art group'@en
Q44342	7	'legend'@en
Q41825	7	'day of the week'@en
Q40357	7	'prison'@en
Q40050	7	'drink'@en
Q4	7	'death'@en
Q389888	7	'quintet'@en
Q3895768	7	'fictional location'@en
Q375011	7	'religious festival'@en
Q37484	7	'epic poem'@en
Q3736859	7	'virtual band'@en
Q368281	7	'split album'@en
Q3326717	7	'literary movement'@en
Q3301053	7	'consolidated city-county'@en
Q3249551	7	'process'@en
Q32090	7	'lifestyle'@en
Q30897648	7	'psychopathological symptom'@en
Q30515	7	'slogan'@en
Q3026787	7	'saying'@en
Q29654788	7	'Unicode character'@en
Q29154430	7	'book of the Bible'@en
Q2882257	7	'First Nation band'@en
Q2536409	7	'IBA Official Cocktail'@en
Q253030	7	'major regional center'@en
Q24577840	7	'fictional group of characters'@en
Q245065	7	'intergovernmental organization'@en
Q235690	7	'common year starting and ending on Thursday'@en
Q235680	7	'common year starting and ending on Friday'@en
Q23413	7	'castle'@en
Q23002039	7	'public educational institution of the United States'@en
Q22811234	7	'branch of philosophy'@en
Q22746	7	'urban park'@en
Q22675015	7	'type of quantum particle'@en
Q223722	7	'abundant number'@en
Q220898	7	'original video animation'@en
Q214609	7	'material'@en
Q207694	7	'art museum'@en
Q207628	7	'musical composition'@en
Q2073093	7	'mini-LP'@en
Q198	7	'war'@en
Q1936384	7	'area of mathematics'@en
Q19201596	7	'symphonic radio orchestra'@en
Q189533	7	'academic degree'@en
Q189349	7	'urban legend'@en
Q187456	7	'bar'@en
Q184611	7	'power of 10'@en
Q18325436	7	'501(c)(3) organization'@en
Q17339814	7	'group or class of chemical substances'@en
Q168827	7	'prophet of Islam'@en
Q166902	7	'primary color'@en
Q166142	7	'application'@en
Q165	7	'sea'@en
Q15936437	7	'research university'@en
Q15617994	7	'designation for an administrative territorial entity'@en
Q1497375	7	'architectural ensemble'@en
Q1357964	7	'county town'@en
Q13539802	7	'place with town rights and privileges'@en
Q13473501	7	'collective'@en
Q133442	7	'city-state'@en
Q1328899	7	'standards organization'@en
Q12540664	7	'distributor'@en
Q12405827	7	'biblical character'@en
Q1231896	7	'painting technique'@en
Q12106333	7	'poetry collection'@en
Q11396960	7	'production company'@en
Q1134686	7	'frazione'@en
Q1094617	7	'mutant'@en
Q109429068	7	'guitar duo'@en
Q10864048	7	'first-level administrative country subdivision'@en
Q108465955	7	'fiction genre'@en
Q106537557	7	'music by ethnic group'@en
Q10624527	7	'biographical museum'@en
Q105096490	7	'color in nature'@en
Q1030329	7	'viral video'@en
Q10269077	7	'sertanejo duo'@en
Q9398093	6	'vowel letter'@en
Q928830	6	'metro station'@en
Q856076	6	'municipality of Finland'@en
Q8355	6	'violin'@en
Q83155724	6	'UCUM constant'@en
Q8053529	6	'Yiddish song'@en
Q795848	6	'BET Awards'@en
Q755707	6	'municipality of Norway'@en
Q750215	6	'mass murder'@en
Q7210356	6	'political organization'@en
Q7148059	6	'patriotic song'@en
Q690175	6	'angel in Judaism'@en
Q68618328	6	'SI unit with special name'@en
Q6784672	6	'municipality of Slovakia'@en
Q66480858	6	'affixed family name'@en
Q631305	6	'rock formation'@en
Q627436	6	'field of work'@en
Q6138323	6	'railway workshop'@en
Q60713210	6	'split extended play'@en
Q58863414	6	'female beauty pageant'@en
Q559618	6	'fictional universe'@en
Q54831	6	'amphitheatre'@en
Q534342	6	'Spain in the Eurovision Song Contest'@en
